date,water_year,temp_c,do_mg_l,do_sat
2017-07-10,2017,4.045105263157895,2.3762105263157896,18.150233368421052
2017-07-11,2017,4.022680555555556,2.313736111111111,17.66270048611111
2017-07-12,2017,4.0319513888888885,2.321645833333333,17.727742965277777
2017-07-13,2017,4.029486111111111,2.270097222222222,17.332620583333334
2017-07-14,2017,4.046777777777778,2.2193819444444443,16.953215027777777
2017-07-15,2017,4.0534791666666665,2.190777777777778,16.737556652777776
2017-07-16,2017,4.071590277777778,2.2178333333333335,16.952518861111113
2017-07-17,2017,4.407048611111111,2.2776875,17.90547232638889
2017-07-18,2017,4.049173611111111,2.0971736111111112,16.020618333333335
2017-07-19,2017,4.064868055555555,2.092951388888889,15.99505167361111
2017-07-20,2017,4.0699861111111115,2.0409930555555555,15.600116319444444
2017-07-21,2017,4.050430555555556,1.993611111111111,15.230074513888889
2017-07-22,2017,4.063423611111111,1.9699652777777779,15.05455270138889
2017-07-23,2017,4.078326388888889,1.9685277777777779,15.049515006944445
2017-07-24,2017,4.071256944444444,1.9114097222222222,14.610222298611111
2017-07-25,2017,4.052944444444444,1.8229236111111111,13.927061305555556
2017-07-26,2017,4.071881944444445,1.8516527777777778,14.153616756944444
2017-07-27,2017,4.07195,1.8839,14.4001091
2017-07-28,2017,4.082333333333334,1.8404097222222222,14.071501819444444
2017-07-29,2017,4.090270833333333,1.812076388888889,13.857864381944445
2017-07-30,2017,4.070243055555555,1.8123888888888888,13.853366611111111
2017-07-31,2017,4.065430555555555,1.7683472222222223,13.514458145833334
2017-08-01,2017,4.0705486111111115,1.6779652777777778,12.825430972222222
2017-08-02,2017,4.090104166666666,1.697875,12.984498194444445
2017-08-03,2017,4.108027777777778,1.7233194444444444,13.185599409722222
2017-08-04,2017,4.089590277777778,1.6142291666666666,12.344626416666667
2017-08-05,2017,4.0817499999999995,1.5882291666666666,12.143140013888889
2017-08-06,2017,4.102013888888889,1.5845069444444444,12.121067243055556
2017-08-07,2017,4.111805555555556,1.6335347222222223,12.499409965277778
2017-08-08,2017,4.1135,1.6179347826086956,12.380591826086956
2017-08-09,2017,4.111402777777777,1.5730069444444443,12.036164208333334
2017-08-10,2017,4.1040069444444445,1.5013611111111111,11.485646930555555
2017-08-11,2017,4.110590277777778,1.5112083333333333,11.5631126875
2017-08-12,2017,4.103743055555555,1.461298611111111,11.179365229166667
2017-08-13,2017,4.078006944444445,1.3094791666666667,10.011153819444445
2017-08-14,2017,4.085395833333333,1.2904375,9.867297423611111
2017-08-15,2017,4.114375,1.2929305555555555,9.893884916666666
2017-08-16,2017,4.127534722222222,1.328875,10.172487944444445
2017-08-17,2017,4.130270833333333,1.2598541666666667,9.644741722222223
2017-08-18,2017,4.136506944444444,1.2644236111111111,9.681402423611111
2017-08-19,2017,4.126215277777778,1.2018402777777777,9.199676208333333
2017-08-20,2017,4.123541666666666,1.1672013888888888,8.933869659722221
2017-08-21,2017,4.117,1.0905714285714285,8.346056809523809
2017-08-22,2017,4.1069375,1.011763888888889,7.7411915208333335
2017-08-23,2017,4.113548611111111,0.9478125,7.252941618055556
2017-08-24,2017,4.125493055555555,0.9338888888888889,7.148437388888889
2017-08-25,2017,4.141055555555556,0.9576805555555555,7.3335396875
2017-08-26,2017,4.151201388888889,0.9482013888888888,7.2628896875
2017-08-27,2017,4.152076388888889,0.8856875,6.784527090277778
2017-08-28,2017,4.1603055555555555,0.8756736111111111,6.709128986111111
2017-08-29,2017,4.1581319444444444,0.892375,6.8368408125
2017-08-30,2017,4.1369375,0.670125,5.132130888888889
2017-08-31,2017,4.138638888888889,0.5771111111111111,4.419405840277777
2017-09-01,2017,4.1491597222222225,0.6222222222222222,4.7658193125
2017-09-02,2017,4.155069444444444,0.6399305555555556,4.902179069444444
2017-09-03,2017,4.150597222222222,0.5108888888888888,3.9135708680555554
2017-09-04,2017,4.145215277777778,0.4431875,3.3946957083333333
2017-09-05,2017,4.150111111111111,0.32714583333333336,2.505885777777778
2017-09-06,2017,4.154555555555556,0.32929166666666665,2.5223475555555557
2017-09-07,2017,4.160465277777778,0.3150833333333333,2.4139574027777777
2017-09-08,2017,4.160638888888889,0.2695763888888889,2.0655171666666665
2017-09-09,2017,4.1599574468085105,0.19738297872340427,1.512246595744681
2017-09-10,2017,4.169733333333333,0.1915,1.4675089666666667
2017-09-11,2017,4.1720138888888885,0.1909236111111111,1.4634166041666667
2017-09-12,2017,4.167201388888889,0.14002083333333334,1.073024173611111
2017-09-13,2017,4.185520833333333,0.11013194444444445,0.8443012777777777
2017-09-14,2017,4.171666666666667,0.07261111111111111,0.5565479930555556
2017-09-15,2017,4.183944444444444,0.027131944444444445,0.20796865972222223
2017-09-16,2017,4.185305555555556,0.035979166666666666,0.27583722222222223
2017-09-17,2017,4.1790416666666665,0.026430555555555554,0.2025892986111111
2017-09-18,2017,4.184763888888889,0.02804861111111111,0.21502816666666666
2017-09-19,2017,4.192375,0.022395833333333334,0.1717208263888889
2017-09-20,2017,4.1954375,0.026243055555555554,0.20124186111111111
2017-09-21,2017,4.193201388888889,0.029458333333333333,0.22588754166666666
2017-09-22,2017,4.191381818181818,0.02230909090909091,0.17106661818181818
2017-09-23,2017,4.192013888888889,0.034513888888888886,0.2646671666666667
2017-09-24,2017,4.193597222222222,0.026006944444444444,0.19943331944444445
2017-09-25,2017,4.193680555555556,0.02266666666666667,0.17380935416666668
2017-09-26,2017,4.204881944444445,0.021583333333333333,0.16555439583333334
2017-09-27,2017,4.204770833333333,0.026847222222222224,0.20591077777777778
