Plot Title: cedar_light_pendant,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733886, SEN S/N: 20733886)","Intensity, Lux (LGR S/N: 20733886, SEN S/N: 20733886)",End Of File (LGR S/N: 20733886)
143,7/23/2020 16:00,26,11022.3,
144,7/23/2020 17:00,25.902,28933.5,
145,7/23/2020 18:00,25.416,6200,
146,7/23/2020 19:00,25.028,4133.4,
147,7/23/2020 20:00,24.931,1808.3,
148,7/23/2020 21:00,24.738,0,
149,7/23/2020 22:00,24.641,0,
150,7/23/2020 23:00,24.448,0,
151,7/24/2020 0:00,24.255,0,
152,7/24/2020 1:00,24.158,0,
153,7/24/2020 2:00,23.966,0,
154,7/24/2020 3:00,23.773,0,
155,7/24/2020 4:00,23.581,0,
156,7/24/2020 5:00,23.388,0,
157,7/24/2020 6:00,23.196,193.8,
158,7/24/2020 7:00,23.1,1550,
159,7/24/2020 8:00,23.292,10677.8,
160,7/24/2020 9:00,23.773,27555.7,
161,7/24/2020 10:00,23.869,17222.3,
162,7/24/2020 11:00,24.545,42711.4,
163,7/24/2020 12:00,25.125,60622.6,
164,7/24/2020 13:00,25.513,52355.9,
165,7/24/2020 14:00,25.61,60622.6,
166,7/24/2020 15:00,25.416,63378.2,
167,7/24/2020 16:00,26.097,13777.9,
168,7/24/2020 17:00,26.097,52355.9,
169,7/24/2020 18:00,25.805,19977.9,
170,7/24/2020 19:00,25.125,3788.9,
171,7/24/2020 20:00,24.931,1377.8,
172,7/24/2020 21:00,24.835,0,
173,7/24/2020 22:00,24.835,0,
174,7/24/2020 23:00,24.738,0,
175,7/25/2020 0:00,24.545,0,
176,7/25/2020 1:00,24.351,0,
177,7/25/2020 2:00,24.158,0,
178,7/25/2020 3:00,23.966,0,
179,7/25/2020 4:00,23.773,0,
180,7/25/2020 5:00,23.677,0,
181,7/25/2020 6:00,23.484,183,
182,7/25/2020 7:00,23.388,1463.9,
183,7/25/2020 8:00,23.677,9300.1,
184,7/25/2020 9:00,23.966,12400.1,
185,7/25/2020 10:00,24.448,30311.3,
186,7/25/2020 11:00,24.931,28933.5,
187,7/25/2020 12:00,25.319,49600.3,
188,7/25/2020 13:00,25.805,57867,
189,7/25/2020 14:00,26,12400.1,
190,7/25/2020 15:00,26,46844.8,
191,7/25/2020 16:00,26.585,66133.8,
192,7/25/2020 17:00,26.39,28933.5,
193,7/25/2020 18:00,25.902,13777.9,
194,7/25/2020 19:00,25.319,2238.9,
195,7/25/2020 20:00,25.222,925.7,
196,7/25/2020 21:00,25.222,0,
197,7/25/2020 22:00,25.125,0,
198,7/25/2020 23:00,24.931,0,
199,7/26/2020 0:00,24.738,0,
200,7/26/2020 1:00,24.545,0,
201,7/26/2020 2:00,24.351,0,
202,7/26/2020 3:00,24.158,0,
203,7/26/2020 4:00,23.966,0,
204,7/26/2020 5:00,23.869,0,
205,7/26/2020 6:00,23.677,161.5,
206,7/26/2020 7:00,23.581,1722.2,
207,7/26/2020 8:00,23.869,9300.1,
208,7/26/2020 9:00,24.158,20666.8,
209,7/26/2020 10:00,24.545,8611.2,
210,7/26/2020 11:00,25.125,44089.2,
211,7/26/2020 12:00,25.708,41333.6,
212,7/26/2020 13:00,26,55111.5,
213,7/26/2020 14:00,26.195,23422.4,
214,7/26/2020 15:00,26.097,74400.5,
215,7/26/2020 16:00,26.488,37200.2,
216,7/26/2020 17:00,26.195,15155.7,
217,7/26/2020 18:00,25.222,1636.1,
218,7/26/2020 19:00,25.222,3100,
219,7/26/2020 20:00,25.319,699.7,
220,7/26/2020 21:00,25.319,0,
221,7/26/2020 22:00,25.125,0,
222,7/26/2020 23:00,24.931,0,
223,7/27/2020 0:00,24.835,0,
224,7/27/2020 1:00,24.641,0,
225,7/27/2020 2:00,24.448,0,
226,7/27/2020 3:00,24.351,0,
227,7/27/2020 4:00,24.158,0,
228,7/27/2020 5:00,24.062,0,
229,7/27/2020 6:00,23.869,75.3,
230,7/27/2020 7:00,23.869,2927.8,
231,7/27/2020 8:00,23.966,5511.1,
232,7/27/2020 9:00,24.255,12400.1,
233,7/27/2020 10:00,24.641,21355.7,
234,7/27/2020 11:00,24.931,17911.2,
235,7/27/2020 12:00,25.319,42711.4,
236,7/27/2020 13:00,25.902,33066.9,
237,7/27/2020 14:00,25.513,37200.2,
238,7/27/2020 15:00,25.222,20666.8,
239,7/27/2020 16:00,24.931,5166.7,
240,7/27/2020 17:00,25.61,23422.4,
241,7/27/2020 18:00,24.835,1636.1,
242,7/27/2020 19:00,24.738,53.8,
243,7/27/2020 20:00,24.545,10.8,
244,7/27/2020 21:00,24.448,0,
245,7/27/2020 22:00,24.255,0,
246,7/27/2020 23:00,24.062,0,
247,7/28/2020 0:00,23.869,0,
248,7/28/2020 1:00,23.677,0,
249,7/28/2020 2:00,23.581,0,
250,7/28/2020 3:00,23.388,0,
251,7/28/2020 4:00,23.196,0,
252,7/28/2020 5:00,23.004,0,
253,7/28/2020 6:00,22.908,96.9,
254,7/28/2020 7:00,22.812,1808.3,
255,7/28/2020 8:00,23.1,7577.8,
256,7/28/2020 9:00,23.388,9300.1,
257,7/28/2020 10:00,23.773,30311.3,
258,7/28/2020 11:00,24.255,38578,
259,7/28/2020 12:00,24.641,74400.5,
260,7/28/2020 13:00,25.125,52355.9,
261,7/28/2020 14:00,25.416,15155.7,
262,7/28/2020 15:00,25.416,31689.1,
263,7/28/2020 16:00,24.545,7577.8,
264,7/28/2020 17:00,25.513,11022.3,
265,7/28/2020 18:00,25.319,8266.7,
266,7/28/2020 19:00,24.351,2152.8,
267,7/28/2020 20:00,24.448,807.3,
268,7/28/2020 21:00,24.255,0,
269,7/28/2020 22:00,24.545,0,
270,7/28/2020 23:00,24.351,0,
271,7/29/2020 0:00,24.158,0,
272,7/29/2020 1:00,23.966,0,
273,7/29/2020 2:00,23.773,0,
274,7/29/2020 3:00,23.677,0,
275,7/29/2020 4:00,23.484,0,
276,7/29/2020 5:00,23.292,0,
277,7/29/2020 6:00,23.196,118.4,
278,7/29/2020 7:00,23.1,1345.5,
279,7/29/2020 8:00,23.388,8266.7,
280,7/29/2020 9:00,23.677,17911.2,
281,7/29/2020 10:00,24.158,14466.8,
282,7/29/2020 11:00,24.641,37200.2,
283,7/29/2020 12:00,25.028,49600.3,
284,7/29/2020 13:00,25.61,44089.2,
285,7/29/2020 14:00,25.708,52355.9,
286,7/29/2020 15:00,25.708,34444.7,
287,7/29/2020 16:00,26.195,38578,
288,7/29/2020 17:00,26.097,66133.8,
289,7/29/2020 18:00,25.61,5166.7,
290,7/29/2020 19:00,24.835,1550,
291,7/29/2020 20:00,24.931,764.2,
292,7/29/2020 21:00,24.835,0,
293,7/29/2020 22:00,24.641,0,
294,7/29/2020 23:00,24.448,0,
295,7/30/2020 0:00,24.158,0,
296,7/30/2020 1:00,23.966,0,
297,7/30/2020 2:00,23.773,0,
298,7/30/2020 3:00,23.581,0,
299,7/30/2020 4:00,23.388,0,
300,7/30/2020 5:00,23.196,0,
301,7/30/2020 6:00,23.004,96.9,
302,7/30/2020 7:00,22.908,1097.9,
303,7/30/2020 8:00,23.196,8266.7,
304,7/30/2020 9:00,23.581,12400.1,
305,7/30/2020 10:00,24.062,57867,
306,7/30/2020 11:00,24.448,37200.2,
307,7/30/2020 12:00,24.931,34444.7,
