unix,utc,pst,temp_c,do_mg_l,do_sat
1592596980,2020-06-19T20:03:00Z,2020-06-19T13:03:00Z,16.448,9.18,116.342654
1592597580,2020-06-19T20:13:00Z,2020-06-19T13:13:00Z,16.473,9.116,115.593214
1592598180,2020-06-19T20:23:00Z,2020-06-19T13:23:00Z,16.49,9.258,117.4364
1592598780,2020-06-19T20:33:00Z,2020-06-19T13:33:00Z,16.49,8.96,113.656313
1592599380,2020-06-19T20:43:00Z,2020-06-19T13:43:00Z,16.499,8.621,109.377144
1592599980,2020-06-19T20:53:00Z,2020-06-19T13:53:00Z,16.541,8.77,111.367246
1592600580,2020-06-19T21:03:00Z,2020-06-19T14:03:00Z,16.55,8.707,110.588443
1592601180,2020-06-19T21:13:00Z,2020-06-19T14:13:00Z,16.618,8.741,111.181215
1592601780,2020-06-19T21:23:00Z,2020-06-19T14:23:00Z,16.635,8.978,114.237073
1592602380,2020-06-19T21:33:00Z,2020-06-19T14:33:00Z,16.686,9.063,115.443823
1592602980,2020-06-19T21:43:00Z,2020-06-19T14:43:00Z,16.745,9.041,115.30812
1592603580,2020-06-19T21:53:00Z,2020-06-19T14:53:00Z,16.745,9.03,115.167827
1592604180,2020-06-19T22:03:00Z,2020-06-19T15:03:00Z,16.77,9.051,115.496983
1592604780,2020-06-19T22:13:00Z,2020-06-19T15:13:00Z,16.77,8.998,114.820667
1592605380,2020-06-19T22:23:00Z,2020-06-19T15:23:00Z,16.787,8.893,113.521772
1592605980,2020-06-19T22:33:00Z,2020-06-19T15:33:00Z,16.762,8.872,113.193584
1592606580,2020-06-19T22:43:00Z,2020-06-19T15:43:00Z,16.787,8.876,113.304762
1592607180,2020-06-19T22:53:00Z,2020-06-19T15:53:00Z,16.796,8.819,112.598655
1592607780,2020-06-19T23:03:00Z,2020-06-19T16:03:00Z,16.796,8.874,113.30088
1592608380,2020-06-19T23:13:00Z,2020-06-19T16:13:00Z,16.83,8.903,113.753207
1592608980,2020-06-19T23:23:00Z,2020-06-19T16:23:00Z,16.923,8.991,115.10434
1592609580,2020-06-19T23:33:00Z,2020-06-19T16:33:00Z,16.906,9.117,116.675373
1592610180,2020-06-19T23:43:00Z,2020-06-19T16:43:00Z,16.906,9.109,116.572993
1592610780,2020-06-19T23:53:00Z,2020-06-19T16:53:00Z,16.923,9.072,116.141316
1592611380,2020-06-20T00:03:00Z,2020-06-19T17:03:00Z,16.957,9.117,116.801507
1592611980,2020-06-20T00:13:00Z,2020-06-19T17:13:00Z,16.932,9.22,118.058548
1592612580,2020-06-20T00:23:00Z,2020-06-19T17:23:00Z,16.949,9.172,117.486227
1592613180,2020-06-20T00:33:00Z,2020-06-19T17:33:00Z,16.906,9.101,116.470612
1592613780,2020-06-20T00:43:00Z,2020-06-19T17:43:00Z,16.889,9.057,115.865759
1592614380,2020-06-20T00:53:00Z,2020-06-19T17:53:00Z,16.923,9.033,115.642031
1592614980,2020-06-20T01:03:00Z,2020-06-19T18:03:00Z,16.923,9.057,115.949284
1592615580,2020-06-20T01:13:00Z,2020-06-19T18:13:00Z,16.932,9.059,115.997005
1592616180,2020-06-20T01:23:00Z,2020-06-19T18:23:00Z,16.974,9.164,117.445912
1592616780,2020-06-20T01:33:00Z,2020-06-19T18:33:00Z,16.991,9.208,118.052293
1592617380,2020-06-20T01:43:00Z,2020-06-19T18:43:00Z,17.025,9.216,118.239896
1592617980,2020-06-20T01:53:00Z,2020-06-19T18:53:00Z,17.008,9.24,118.505181
1592618580,2020-06-20T02:03:00Z,2020-06-19T19:03:00Z,17.008,9.231,118.389754
1592619180,2020-06-20T02:13:00Z,2020-06-19T19:13:00Z,17,9.242,118.510766
1592619780,2020-06-20T02:23:00Z,2020-06-19T19:23:00Z,17,9.249,118.600528
1592620380,2020-06-20T02:33:00Z,2020-06-19T19:33:00Z,16.991,9.229,118.321526
1592620980,2020-06-20T02:43:00Z,2020-06-19T19:43:00Z,16.966,9.235,118.335803
1592621580,2020-06-20T02:53:00Z,2020-06-19T19:53:00Z,16.957,9.231,118.262006
1592622180,2020-06-20T03:03:00Z,2020-06-19T20:03:00Z,16.957,9.351,119.799374
1592622780,2020-06-20T03:13:00Z,2020-06-19T20:13:00Z,16.966,9.446,121.039523
1592623380,2020-06-20T03:23:00Z,2020-06-19T20:23:00Z,16.957,9.396,120.375887
1592623980,2020-06-20T03:33:00Z,2020-06-19T20:33:00Z,16.94,9.361,119.884314
1592624580,2020-06-20T03:43:00Z,2020-06-19T20:43:00Z,16.94,9.336,119.564145
1592625180,2020-06-20T03:53:00Z,2020-06-19T20:53:00Z,16.94,9.305,119.167134
1592625780,2020-06-20T04:03:00Z,2020-06-19T21:03:00Z,16.94,9.257,118.552409
1592626380,2020-06-20T04:13:00Z,2020-06-19T21:13:00Z,16.949,9.235,118.293208
