date_time,temp_C,intensity_lux
7/24/2020 20:00,24.931,1377.8
7/24/2020 21:00,24.835,0
7/24/2020 22:00,24.835,0
7/24/2020 23:00,24.738,0
7/25/2020 0:00,24.545,0
7/25/2020 1:00,24.351,0
7/25/2020 2:00,24.158,0
7/25/2020 3:00,23.966,0
7/25/2020 4:00,23.773,0
7/25/2020 5:00,23.677,0
7/25/2020 6:00,23.484,183
7/25/2020 7:00,23.388,1463.9
7/25/2020 8:00,23.677,9300.1
7/25/2020 9:00,23.966,12400.1
7/25/2020 10:00,24.448,30311.3
7/25/2020 11:00,24.931,28933.5
7/25/2020 12:00,25.319,49600.3
7/25/2020 13:00,25.805,57867
7/25/2020 14:00,26,12400.1
7/25/2020 15:00,26,46844.8
7/25/2020 16:00,26.585,66133.8
7/25/2020 17:00,26.39,28933.5
7/25/2020 18:00,25.902,13777.9
7/25/2020 19:00,25.319,2238.9
7/25/2020 20:00,25.222,925.7
7/25/2020 21:00,25.222,0
7/25/2020 22:00,25.125,0
7/25/2020 23:00,24.931,0
7/26/2020 0:00,24.738,0
7/26/2020 1:00,24.545,0
7/26/2020 2:00,24.351,0
7/26/2020 3:00,24.158,0
7/26/2020 4:00,23.966,0
7/26/2020 5:00,23.869,0
7/26/2020 6:00,23.677,161.5
7/26/2020 7:00,23.581,1722.2
7/26/2020 8:00,23.869,9300.1
7/26/2020 9:00,24.158,20666.8
7/26/2020 10:00,24.545,8611.2
7/26/2020 11:00,25.125,44089.2
7/26/2020 12:00,25.708,41333.6
7/26/2020 13:00,26,55111.5
7/26/2020 14:00,26.195,23422.4
7/26/2020 15:00,26.097,74400.5
7/26/2020 16:00,26.488,37200.2
7/26/2020 17:00,26.195,15155.7
7/26/2020 18:00,25.222,1636.1
7/26/2020 19:00,25.222,3100
7/26/2020 20:00,25.319,699.7
7/26/2020 21:00,25.319,0
7/26/2020 22:00,25.125,0
7/26/2020 23:00,24.931,0
7/27/2020 0:00,24.835,0
7/27/2020 1:00,24.641,0
7/27/2020 2:00,24.448,0
7/27/2020 3:00,24.351,0
7/27/2020 4:00,24.158,0
7/27/2020 5:00,24.062,0
7/27/2020 6:00,23.869,75.3
7/27/2020 7:00,23.869,2927.8
7/27/2020 8:00,23.966,5511.1
7/27/2020 9:00,24.255,12400.1
7/27/2020 10:00,24.641,21355.7
7/27/2020 11:00,24.931,17911.2
7/27/2020 12:00,25.319,42711.4
7/27/2020 13:00,25.902,33066.9
7/27/2020 14:00,25.513,37200.2
7/27/2020 15:00,25.222,20666.8
7/27/2020 16:00,24.931,5166.7
7/27/2020 17:00,25.61,23422.4
7/27/2020 18:00,24.835,1636.1
7/27/2020 19:00,24.738,53.8
7/27/2020 20:00,24.545,10.8
7/27/2020 21:00,24.448,0
7/27/2020 22:00,24.255,0
7/27/2020 23:00,24.062,0
7/28/2020 0:00,23.869,0
7/28/2020 1:00,23.677,0
7/28/2020 2:00,23.581,0
7/28/2020 3:00,23.388,0
7/28/2020 4:00,23.196,0
7/28/2020 5:00,23.004,0
7/28/2020 6:00,22.908,96.9
7/28/2020 7:00,22.812,1808.3
7/28/2020 8:00,23.1,7577.8
7/28/2020 9:00,23.388,9300.1
7/28/2020 10:00,23.773,30311.3
7/28/2020 11:00,24.255,38578
7/28/2020 12:00,24.641,74400.5
