lake,date_time,temp_c,depth
cedar,2021-09-02T19:00:00Z,19.365,2m
cedar,2021-09-02T20:00:00Z,19.127,2m
cedar,2021-09-02T21:00:00Z,18.866,2m
cedar,2021-09-02T22:00:00Z,18.675,2m
cedar,2021-09-02T23:00:00Z,18.509,2m
cedar,2021-09-03T00:00:00Z,18.39,2m
cedar,2021-09-03T01:00:00Z,18.247,2m
cedar,2021-09-03T02:00:00Z,18.129,2m
cedar,2021-09-03T03:00:00Z,18.01,2m
cedar,2021-09-03T04:00:00Z,17.843,2m
cedar,2021-09-03T05:00:00Z,17.748,2m
cedar,2021-09-03T06:00:00Z,17.605,2m
cedar,2021-09-03T07:00:00Z,17.463,2m
cedar,2021-09-03T08:00:00Z,17.391,2m
cedar,2021-09-03T09:00:00Z,17.415,2m
cedar,2021-09-03T10:00:00Z,17.51,2m
cedar,2021-09-03T11:00:00Z,17.486,2m
cedar,2021-09-03T12:00:00Z,17.724,2m
cedar,2021-09-03T13:00:00Z,18.081,2m
cedar,2021-09-03T14:00:00Z,18.533,2m
cedar,2021-09-03T15:00:00Z,18.866,2m
cedar,2021-09-03T16:00:00Z,19.151,2m
cedar,2021-09-03T17:00:00Z,19.341,2m
cedar,2021-09-03T18:00:00Z,19.484,2m
cedar,2021-09-03T19:00:00Z,19.294,2m
cedar,2021-09-03T20:00:00Z,18.961,2m
cedar,2021-09-03T21:00:00Z,18.723,2m
cedar,2021-09-03T22:00:00Z,18.533,2m
cedar,2021-09-03T23:00:00Z,18.343,2m
cedar,2021-09-04T00:00:00Z,18.176,2m
cedar,2021-09-04T01:00:00Z,18.057,2m
cedar,2021-09-04T02:00:00Z,17.915,2m
cedar,2021-09-04T03:00:00Z,17.796,2m
cedar,2021-09-04T04:00:00Z,17.677,2m
cedar,2021-09-04T05:00:00Z,17.534,2m
cedar,2021-09-04T06:00:00Z,17.391,2m
cedar,2021-09-04T07:00:00Z,17.272,2m
cedar,2021-09-04T08:00:00Z,17.201,2m
cedar,2021-09-04T09:00:00Z,17.272,2m
cedar,2021-09-04T10:00:00Z,17.368,2m
cedar,2021-09-04T11:00:00Z,17.51,2m
cedar,2021-09-04T12:00:00Z,17.843,2m
cedar,2021-09-04T13:00:00Z,18.247,2m
