lake,date,temp_03.8,temp_04.6,temp_08.4,temp_13.4,temp_18.4,temp_23.3,temp_24.3,temp_sediment,do_mg_l,do_sat,light_3.8,cond_24.3,level_4.6
cliff,2019-08-22,20.638875,19.840958333333333,12.945833333333333,7.585875,5.737208333333333,4.93525,4.4625,4.873333333333333,0.09104166666666666,0.8824377916666667,4871.5875,14.366666666666667,119.59649999999999
cliff,2019-08-23,20.70625,19.904458333333334,13.069166666666668,7.6425833333333335,5.743458333333333,4.935666666666667,4.46375,4.892833333333333,0.08779166666666666,0.8508615833333333,5029.4625,14.466666666666667,119.56891666666667
cliff,2019-08-24,20.86525,20.09475,13.154541666666667,7.666541666666666,5.7595833333333335,4.967291666666666,4.477916666666666,4.895,0.13566666666666666,1.3170790833333335,5081.9375,14.5375,119.78929166666667
cliff,2019-08-25,21.020208333333333,20.198,13.255833333333333,7.705166666666667,5.789208333333333,4.971041666666666,4.496666666666666,4.895,0.14608333333333334,1.4187075416666666,6339.079166666666,14.029166666666667,119.97108333333334
cliff,2019-08-26,21.147458333333333,20.336916666666667,13.385083333333334,7.747,5.795625,4.959833333333333,4.49125,4.895,0.08783333333333333,0.8518072916666667,5641.204166666666,13.7,119.895875
cliff,2019-08-27,21.338125,20.547166666666666,13.451291666666666,7.767916666666666,5.820208333333333,4.9868749999999995,4.49875,4.895,0.12391666666666666,1.2033821666666666,5037.983333333333,13.716666666666667,119.6955
cliff,2019-08-28,21.365791666666667,20.721875,13.536666666666667,7.779375,5.83725,4.9715,4.5008333333333335,4.895,0.08783333333333333,0.8520635416666666,3272.695833333333,13.816666666666666,119.715
cliff,2019-08-29,21.49725,20.757708333333333,13.604875,7.82,5.831875,5.003541666666667,4.5125,4.895,0.15745833333333334,1.5302217916666667,4762.15,14.35,119.791375
cliff,2019-08-30,21.4615,20.702041666666666,13.712958333333333,7.829375,5.856333333333334,4.988958333333334,4.514166666666666,4.9079999999999995,0.09995833333333333,0.9704097083333333,5179.258333333333,14.433333333333334,119.85129166666667
cliff,2019-08-31,21.461541666666665,20.698,13.817958333333333,7.892916666666666,5.866083333333333,5.0275,4.5408333333333335,4.921,0.171375,1.667209875,5289.583333333333,14.366666666666667,119.71775
cliff,2019-09-01,21.30225,20.60275,13.947000000000001,7.908541666666666,5.884125,5.013916666666667,4.534166666666667,4.921,0.11875,1.1542930416666666,4993.579166666666,14.5,119.65025
cliff,2019-09-02,21.238833333333332,20.4835,14.031,7.945,5.895833333333333,5.037541666666667,4.547499999999999,4.921,0.14758333333333334,1.4365140833333334,5278.829166666666,14.591666666666667,119.66216666666666
cliff,2019-09-03,21.119458333333334,20.439875,14.106958333333333,7.9627083333333335,5.888541666666667,5.05,4.551666666666667,4.921,0.10195833333333333,0.991239375,4413.220833333333,14.641666666666667,119.65845833333333
cliff,2019-09-04,20.924833333333332,20.186125,14.215875,7.992916666666667,5.912875,5.033458333333333,4.549166666666666,4.925333333333334,0.08766666666666666,0.8518173333333333,5105.708333333333,14.575,119.53366666666666
cliff,2019-09-05,20.829208333333334,20.22175,14.284625,8.02,5.91825,5.062083333333333,4.564583333333333,4.947,0.10137499999999999,0.9863595000000001,3298.2541666666666,14.758333333333333,119.6135
cliff,2019-09-06,20.690333333333335,19.963833333333334,14.375333333333334,8.037708333333333,5.940708333333333,5.035541666666667,4.55375,4.947,0.08708333333333333,0.8461922916666667,4571.995833333333,15.05,119.75975
cliff,2019-09-07,20.364625,19.801375,14.480083333333333,8.066875,5.934291666666667,5.0425,4.553333333333333,4.947,0.08758333333333333,0.8512089583333333,2758.2625,15.05,119.38104166666666
cliff,2019-09-08,20.114791666666665,19.404708333333332,14.541958333333334,8.081458333333334,5.952458333333333,5.047666666666666,4.555833333333333,4.947,0.08725,0.84807925,4357.608333333334,15.116666666666667,119.19595833333334
cliff,2019-09-09,19.761625,19.119416666666666,14.628833333333333,8.112708333333334,5.956625,5.054166666666667,4.559166666666666,4.947,0.087125,0.8470063333333333,4515.483333333334,15.116666666666667,118.98429166666666
cliff,2019-09-10,19.24625,18.711,14.677833333333334,8.1189583333333335,5.960916666666667,5.061708333333334,4.5649999999999995,4.947,0.08720833333333333,0.8479822916666666,1833.9041666666667,15.366666666666665,118.95408333333333
cliff,2019-09-11,18.921125,18.311125,14.782458333333333,8.129375,5.971583333333333,5.052583333333334,4.559166666666666,4.947,0.08708333333333333,0.8465650416666667,3164.1541666666667,15.45,119.497125
