lake,date,temp_03.8,temp_04.6,temp_06.1,temp_08.4,temp_13.4,temp_18.4,temp_23.3,temp_24.3,temp_sediment,do_mg_l,do_sat,light_3.8,cond_24.3,level_4.6
cliff,2020-07-25,23.104416666666665,22.544999999999998,20.545166666666667,13.086333333333334,7.226708333333333,5.586375,4.9285,4.873333333333333,4.844,1.0734166666666667,10.402817291666667,5359.558333333333,7.3,119.47516666666667
cliff,2020-07-26,23.1565,22.624958333333332,20.7845,13.204708333333333,7.262333333333333,5.595958333333334,4.943875,4.890416666666667,4.844,1.1011666666666666,10.677168666666667,5009.279166666667,7.4125,119.608375
cliff,2020-07-27,23.116125,22.700875,21.034791666666667,13.326041666666667,7.291666666666667,5.601333333333334,4.946416666666667,4.894166666666667,4.844,1.1677083333333333,11.325614208333333,2357.3083333333334,7.429166666666667,119.57695833333334
cliff,2020-07-28,22.996458333333333,22.457083333333333,21.264458333333334,13.40325,7.305291666666666,5.621541666666666,4.939333333333334,4.890416666666667,4.844,0.7634166666666666,7.4023825,4069.2291666666665,7.5625,119.55795833333333
cliff,2020-07-29,23.132458333333332,22.557,21.542708333333334,13.493583333333333,7.343041666666666,5.6280833333333335,4.953458333333334,4.902916666666667,4.845041666666667,0.8565833333333334,8.308337666666667,5048.3,7.395833333333333,119.5475
cliff,2020-07-30,22.9645,22.449166666666667,21.86825,13.635,7.364083333333333,5.64625,4.968875,4.905833333333334,4.865875,0.8535,8.282094333333333,4902.5375,7.633333333333334,119.664375
cliff,2020-07-31,22.792583333333333,22.249499999999998,21.964666666666666,13.765,7.4186250000000005,5.650625,4.970958333333334,4.912083333333333,4.869,0.8877083333333333,8.6145205,3941.4,7.804166666666667,119.630375
cliff,2020-08-01,22.716833333333334,22.177916666666665,21.990541666666665,13.892,7.437375,5.663375,4.973833333333333,4.912916666666667,4.869,0.7164166666666667,6.9524395,4334.733333333334,7.775,119.627875
cliff,2020-08-02,22.712833333333332,22.162125,21.978708333333334,13.984916666666667,7.47825,5.6911249999999995,4.98525,4.929166666666666,4.869,0.7622083333333334,7.4010645833333335,4369.7125,7.820833333333334,119.60620833333333
cliff,2020-08-03,22.668875,22.138166666666667,21.98270833333333,14.123958333333334,7.494875,5.709333333333333,4.9915416666666665,4.9375,4.882,0.754875,7.331315875,3728.375,7.75,119.57883333333334
cliff,2020-08-04,22.768791666666665,22.20575,22.022541666666665,14.255625,7.538875,5.707125,5.000541666666667,4.943333333333333,4.895,0.697375,6.774151041666666,3492.016666666667,7.879166666666667,119.32129166666667
cliff,2020-08-05,22.752583333333334,22.273374999999998,22.099083333333333,14.360375,7.567083333333334,5.727375,5.01225,4.956666666666667,4.895,0.7715416666666667,7.4997025,2346.0958333333333,7.8375,119.03116666666666
cliff,2020-08-06,22.365333333333332,22.05420833333333,22.02070833333333,14.425208333333334,7.580708333333333,5.7359583333333335,5.02075,4.96375,4.895,0.5809166666666666,5.645663416666666,1043.1958333333332,7.720833333333333,118.96183333333333
cliff,2020-08-07,22.229875,21.688208333333336,21.627208333333332,14.523,7.61625,5.742541666666667,5.020291666666667,4.96125,4.895,0.5130833333333333,4.984901375,3259.233333333333,7.933333333333334,119.203875
cliff,2020-08-08,22.241875,21.69216666666667,21.598291666666668,14.631916666666667,7.642458333333333,5.747708333333334,5.020791666666667,4.965833333333333,4.897166666666666,0.4975,4.8343036249999995,4002.3958333333335,7.954166666666667,119.31133333333334
cliff,2020-08-09,22.3975,21.8275,21.698791666666665,14.738666666666667,7.679125,5.7647916666666665,5.032375,4.9679166666666665,4.918833333333334,0.43154166666666666,4.1958434166666665,3719.8458333333333,7.970833333333333,119.33504166666667
cliff,2020-08-10,22.525125,22.0105,21.856333333333332,14.864125,7.706458333333333,5.778583333333334,5.034625,4.977916666666666,4.921,0.421,4.093734125,3589.3291666666664,8.216666666666667,119.19679166666667
cliff,2020-08-11,22.744666666666667,22.201666666666664,22.014499999999998,14.977583333333333,7.747083333333333,5.787125,5.051041666666666,4.985416666666667,4.921,0.5050833333333333,4.91496275,3169.9833333333336,8.45,118.95775
cliff,2020-08-12,22.632875,22.146124999999998,22.0255,15.102125000000001,7.7604999999999995,5.808583333333333,5.065125,5.0095833333333335,4.921,0.6019583333333334,5.860414541666667,3195.1041666666665,8.229166666666666,118.97175
cliff,2020-08-13,22.521041666666665,21.98645833333333,21.933958333333333,15.210708333333333,7.800166666666667,5.8276666666666666,5.069208333333333,5.017083333333333,4.937250000000001,0.538625,5.242598291666667,4324.420833333334,8.220833333333333,119.13504166666667
cliff,2020-08-14,22.421333333333333,21.938833333333335,21.876166666666666,15.335083333333333,7.83875,5.853208333333333,5.07125,5.015833333333333,4.947,0.2960833333333333,2.881668125,2699.5041666666666,8.3625,119.26408333333333
cliff,2020-08-15,22.629,22.070375,21.954708333333333,15.459375,7.873125,5.853208333333333,5.083333333333333,5.024583333333333,4.947,0.39841666666666664,3.8795419583333333,4451.341666666667,8.483333333333333,119.212
cliff,2020-08-16,22.492958333333334,22.102083333333333,22.049333333333333,15.555833333333334,7.885625,5.8542499999999995,5.077083333333333,5.020833333333333,4.947,0.16275,1.583770875,2574.829166666667,8.741666666666667,119.24879166666666
cliff,2020-08-17,22.16195833333333,21.847208333333334,21.847125,15.584833333333334,7.9075,5.8595,5.085,5.027083333333334,4.947,0.149875,1.458839375,1394.8291666666667,8.895833333333334,119.436
cliff,2020-08-18,22.170166666666667,21.660333333333334,21.63125,15.692125,7.935625,5.87875,5.085416666666667,5.022916666666666,4.9535,0.11841666666666667,1.1523482916666667,2395.875,9.370833333333334,119.30895833333334
cliff,2020-08-19,22.245833333333334,21.739875,21.697875,15.779541666666667,7.949166666666667,5.875583333333333,5.0975,5.040416666666666,4.971916666666667,0.22070833333333334,2.149510125,3541.354166666667,9.254166666666666,118.93504166666666
cliff,2020-08-20,22.006916666666665,21.505166666666668,21.475125,15.903,7.97625,5.891625,5.114166666666667,5.05125,4.973,0.18933333333333333,1.8442313333333333,3063.6875,9.004166666666666,118.67925
cliff,2020-08-21,21.959,21.433416666666666,21.378625,16.035875,8.01375,5.913,5.119166666666667,5.055833333333333,4.973,0.20325,1.980168,3422.9416666666666,9.595833333333333,118.59941666666667
