unix,utc,pst,temp_c,do_mg_l,do_sat
1623592860,2021-06-13T14:01:00Z,2021-06-13T07:01:00Z,17.802,7.599,100.452241
1623593460,2021-06-13T14:11:00Z,2021-06-13T07:11:00Z,16.989,7.701,100.072858
1623594060,2021-06-13T14:21:00Z,2021-06-13T07:21:00Z,16.309,7.802,99.927382
1623594660,2021-06-13T14:31:00Z,2021-06-13T07:31:00Z,15.857,7.867,99.785812
1623595260,2021-06-13T14:41:00Z,2021-06-13T07:41:00Z,15.498,7.901,99.441836
1623595860,2021-06-13T14:51:00Z,2021-06-13T07:51:00Z,15.145,7.96,99.417983
1623596460,2021-06-13T15:01:00Z,2021-06-13T08:01:00Z,15.025,7.971,99.294818
1623597060,2021-06-13T15:11:00Z,2021-06-13T08:11:00Z,14.991,7.971,99.221028
1623597660,2021-06-13T15:21:00Z,2021-06-13T08:21:00Z,14.991,7.954,99.009416
1623598260,2021-06-13T15:31:00Z,2021-06-13T08:31:00Z,14.991,7.944,98.884938
1623598860,2021-06-13T15:41:00Z,2021-06-13T08:41:00Z,15.085,7.92,98.788931
1623599460,2021-06-13T15:51:00Z,2021-06-13T08:51:00Z,15.102,7.918,98.800652
1623600060,2021-06-13T16:01:00Z,2021-06-13T09:01:00Z,15.206,7.89,98.674873
1623600660,2021-06-13T16:11:00Z,2021-06-13T09:11:00Z,15.335,7.858,98.551084
1623601260,2021-06-13T16:21:00Z,2021-06-13T09:21:00Z,15.463,7.832,98.498567
1623601860,2021-06-13T16:31:00Z,2021-06-13T09:31:00Z,15.6,7.788,98.236575
1623602460,2021-06-13T16:41:00Z,2021-06-13T09:41:00Z,15.814,7.745,98.147249
1623603060,2021-06-13T16:51:00Z,2021-06-13T09:51:00Z,16.318,7.664,98.178808
1623603660,2021-06-13T17:01:00Z,2021-06-13T10:01:00Z,16.913,7.572,98.238119
1623604260,2021-06-13T17:11:00Z,2021-06-13T10:11:00Z,17.108,7.52,97.96727
1623604860,2021-06-13T17:21:00Z,2021-06-13T10:21:00Z,17.337,7.476,97.866039
1623605460,2021-06-13T17:31:00Z,2021-06-13T10:31:00Z,17.32,7.469,97.739378
1623606060,2021-06-13T17:41:00Z,2021-06-13T10:41:00Z,17.447,7.444,97.673095
1623606660,2021-06-13T17:51:00Z,2021-06-13T10:51:00Z,18.173,7.336,97.72915
1623607260,2021-06-13T18:01:00Z,2021-06-13T11:01:00Z,18.762,7.24,97.634094
1623607860,2021-06-13T18:11:00Z,2021-06-13T11:11:00Z,19.543,7.131,97.716254
1623608460,2021-06-13T18:21:00Z,2021-06-13T11:21:00Z,19.936,7.066,97.602005
1623609060,2021-06-13T18:31:00Z,2021-06-13T11:31:00Z,20.154,7.023,97.436872
1623609660,2021-06-13T18:41:00Z,2021-06-13T11:41:00Z,20.029,7.033,97.329312
1623610260,2021-06-13T18:51:00Z,2021-06-13T11:51:00Z,20.087,7.008,97.097194
1623610860,2021-06-13T19:01:00Z,2021-06-13T12:01:00Z,20.464,6.949,97.014476
1623611460,2021-06-13T19:11:00Z,2021-06-13T12:11:00Z,22.654,6.711,97.844534
1623612060,2021-06-13T19:21:00Z,2021-06-13T12:21:00Z,24.245,6.512,97.904117
1623612660,2021-06-13T19:31:00Z,2021-06-13T12:31:00Z,26.738,6.309,99.407139
1623613260,2021-06-13T19:41:00Z,2021-06-13T12:41:00Z,28.02,6.15,99.215735
1623613860,2021-06-13T19:51:00Z,2021-06-13T12:51:00Z,29.21,6.035,99.488216
1623614460,2021-06-13T20:01:00Z,2021-06-13T13:01:00Z,30.859,5.882,99.873753
1623615060,2021-06-13T20:11:00Z,2021-06-13T13:11:00Z,30.295,5.918,99.479679
1623615660,2021-06-13T20:21:00Z,2021-06-13T13:21:00Z,29.726,5.962,99.202581
1623616260,2021-06-13T20:31:00Z,2021-06-13T13:31:00Z,29.588,5.947,98.70777
1623616860,2021-06-13T20:41:00Z,2021-06-13T13:41:00Z,29.579,6.317,104.832019
1623617460,2021-06-13T20:51:00Z,2021-06-13T13:51:00Z,29.51,6.335,105.000245
1623618060,2021-06-13T21:01:00Z,2021-06-13T14:01:00Z,29.338,6.109,100.941026
