"Plot Title: gumboot_2m"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20732847, SEN S/N: 20732847)","GDD, DDc (LGR S/N: 20732847)"
141,06/25/20 02:00:00 PM,21.891,
142,06/25/20 03:00:00 PM,21.915,
143,06/25/20 04:00:00 PM,22.058,
144,06/25/20 05:00:00 PM,22.202,
145,06/25/20 06:00:00 PM,22.226,
146,06/25/20 07:00:00 PM,22.417,
147,06/25/20 08:00:00 PM,22.321,
148,06/25/20 09:00:00 PM,22.250,
149,06/25/20 10:00:00 PM,22.202,
150,06/25/20 11:00:00 PM,22.274,
151,06/26/20 12:00:00 AM,22.250,
152,06/26/20 01:00:00 AM,22.202,
153,06/26/20 02:00:00 AM,22.130,
154,06/26/20 03:00:00 AM,22.154,
155,06/26/20 04:00:00 AM,22.058,
156,06/26/20 05:00:00 AM,21.987,
157,06/26/20 06:00:00 AM,21.939,
158,06/26/20 07:00:00 AM,21.867,
159,06/26/20 08:00:00 AM,21.795,
160,06/26/20 09:00:00 AM,21.748,
161,06/26/20 10:00:00 AM,21.867,
162,06/26/20 11:00:00 AM,22.082,
163,06/26/20 12:00:00 PM,22.058,6.591
164,06/26/20 01:00:00 PM,22.130,
165,06/26/20 02:00:00 PM,22.321,
166,06/26/20 03:00:00 PM,22.489,
167,06/26/20 04:00:00 PM,22.824,
168,06/26/20 05:00:00 PM,22.681,
169,06/26/20 06:00:00 PM,22.729,
170,06/26/20 07:00:00 PM,22.800,
171,06/26/20 08:00:00 PM,22.848,
172,06/26/20 09:00:00 PM,22.776,
173,06/26/20 10:00:00 PM,22.800,
174,06/26/20 11:00:00 PM,22.824,
175,06/27/20 12:00:00 AM,22.753,
176,06/27/20 01:00:00 AM,22.753,
177,06/27/20 02:00:00 AM,22.753,
178,06/27/20 03:00:00 AM,22.705,
179,06/27/20 04:00:00 AM,22.657,
180,06/27/20 05:00:00 AM,22.657,
181,06/27/20 06:00:00 AM,22.633,
182,06/27/20 07:00:00 AM,22.561,
183,06/27/20 08:00:00 AM,22.465,
184,06/27/20 09:00:00 AM,22.465,
185,06/27/20 10:00:00 AM,22.585,
186,06/27/20 11:00:00 AM,22.585,
187,06/27/20 12:00:00 PM,22.848,9.656
188,06/27/20 01:00:00 PM,23.040,
