"Plot Title: gumboot_sediment"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20732846, SEN S/N: 20732846)","GDD, DDc (LGR S/N: 20732846)"
141,06/25/20 02:00:00 PM,12.171,
142,06/25/20 03:00:00 PM,12.195,
143,06/25/20 04:00:00 PM,12.195,
144,06/25/20 05:00:00 PM,12.195,
145,06/25/20 06:00:00 PM,12.195,
146,06/25/20 07:00:00 PM,12.219,
147,06/25/20 08:00:00 PM,12.219,
148,06/25/20 09:00:00 PM,12.219,
149,06/25/20 10:00:00 PM,12.243,
150,06/25/20 11:00:00 PM,12.243,
151,06/26/20 12:00:00 AM,12.243,
152,06/26/20 01:00:00 AM,12.268,
153,06/26/20 02:00:00 AM,12.268,
154,06/26/20 03:00:00 AM,12.268,
155,06/26/20 04:00:00 AM,12.292,
156,06/26/20 05:00:00 AM,12.292,
157,06/26/20 06:00:00 AM,12.292,
158,06/26/20 07:00:00 AM,12.316,
159,06/26/20 08:00:00 AM,12.316,
160,06/26/20 09:00:00 AM,12.316,
161,06/26/20 10:00:00 AM,12.340,
162,06/26/20 11:00:00 AM,12.340,
163,06/26/20 12:00:00 PM,12.340,0.000
164,06/26/20 01:00:00 PM,12.364,
165,06/26/20 02:00:00 PM,12.364,
166,06/26/20 03:00:00 PM,12.364,
167,06/26/20 04:00:00 PM,12.389,
168,06/26/20 05:00:00 PM,12.389,
169,06/26/20 06:00:00 PM,12.389,
170,06/26/20 07:00:00 PM,12.413,
171,06/26/20 08:00:00 PM,12.413,
172,06/26/20 09:00:00 PM,12.437,
173,06/26/20 10:00:00 PM,12.437,
174,06/26/20 11:00:00 PM,12.437,
175,06/27/20 12:00:00 AM,12.461,
176,06/27/20 01:00:00 AM,12.461,
177,06/27/20 02:00:00 AM,12.461,
178,06/27/20 03:00:00 AM,12.485,
179,06/27/20 04:00:00 AM,12.485,
180,06/27/20 05:00:00 AM,12.485,
181,06/27/20 06:00:00 AM,12.509,
182,06/27/20 07:00:00 AM,12.509,
183,06/27/20 08:00:00 AM,12.534,
184,06/27/20 09:00:00 AM,12.534,
185,06/27/20 10:00:00 AM,12.534,
186,06/27/20 11:00:00 AM,12.558,
187,06/27/20 12:00:00 PM,12.558,0.000
188,06/27/20 01:00:00 PM,12.558,
189,06/27/20 02:00:00 PM,12.582,
190,06/27/20 03:00:00 PM,12.582,
191,06/27/20 04:00:00 PM,12.606,
192,06/27/20 05:00:00 PM,12.606,
193,06/27/20 06:00:00 PM,12.606,
194,06/27/20 07:00:00 PM,12.630,
195,06/27/20 08:00:00 PM,12.630,
196,06/27/20 09:00:00 PM,12.654,
197,06/27/20 10:00:00 PM,12.654,
198,06/27/20 11:00:00 PM,12.654,
199,06/28/20 12:00:00 AM,12.678,
200,06/28/20 01:00:00 AM,12.678,
201,06/28/20 02:00:00 AM,12.678,
202,06/28/20 03:00:00 AM,12.703,
203,06/28/20 04:00:00 AM,12.703,
204,06/28/20 05:00:00 AM,12.727,
205,06/28/20 06:00:00 AM,12.727,
206,06/28/20 07:00:00 AM,12.751,
207,06/28/20 08:00:00 AM,12.751,
208,06/28/20 09:00:00 AM,12.751,
209,06/28/20 10:00:00 AM,12.775,
210,06/28/20 11:00:00 AM,12.775,
211,06/28/20 12:00:00 PM,12.775,0.000
212,06/28/20 01:00:00 PM,12.799,
213,06/28/20 02:00:00 PM,12.799,
214,06/28/20 03:00:00 PM,12.823,
215,06/28/20 04:00:00 PM,12.823,
216,06/28/20 05:00:00 PM,12.847,
217,06/28/20 06:00:00 PM,12.847,
218,06/28/20 07:00:00 PM,12.847,
219,06/28/20 08:00:00 PM,12.871,
220,06/28/20 09:00:00 PM,12.871,
221,06/28/20 10:00:00 PM,12.896,
