unix,utc,pst,temp_c,do_mg_l,do_sat
1595005440,2020-07-17T17:04:00Z,2020-07-17T10:04:00Z,22.012,6.586,93.750586
1595006040,2020-07-17T17:14:00Z,2020-07-17T10:14:00Z,22.045,6.591,93.882617
1595006640,2020-07-17T17:24:00Z,2020-07-17T10:24:00Z,22.062,6.573,93.657493
1595007240,2020-07-17T17:34:00Z,2020-07-17T10:34:00Z,22.104,6.569,93.677718
1595007840,2020-07-17T17:44:00Z,2020-07-17T10:44:00Z,22.121,6.589,93.994285
1595008440,2020-07-17T17:54:00Z,2020-07-17T10:54:00Z,22.171,6.622,94.557746
1595009040,2020-07-17T18:04:00Z,2020-07-17T11:04:00Z,22.179,6.643,94.872494
1595009640,2020-07-17T18:14:00Z,2020-07-17T11:14:00Z,22.204,6.692,95.619146
1595010240,2020-07-17T18:24:00Z,2020-07-17T11:24:00Z,22.271,6.707,95.95936
1595010840,2020-07-17T18:34:00Z,2020-07-17T11:34:00Z,22.329,6.665,95.466785
1595011440,2020-07-17T18:44:00Z,2020-07-17T11:44:00Z,22.396,6.66,95.520262
1595012040,2020-07-17T18:54:00Z,2020-07-17T11:54:00Z,22.471,6.67,95.803987
1595012640,2020-07-17T19:04:00Z,2020-07-17T12:04:00Z,22.547,6.69,96.233917
1595013240,2020-07-17T19:14:00Z,2020-07-17T12:14:00Z,22.622,6.683,96.273924
1595013840,2020-07-17T19:24:00Z,2020-07-17T12:24:00Z,22.714,6.665,96.186832
1595014440,2020-07-17T19:34:00Z,2020-07-17T12:34:00Z,22.772,6.673,96.411033
1595015040,2020-07-17T19:44:00Z,2020-07-17T12:44:00Z,22.864,6.748,97.66914
1595015640,2020-07-17T19:54:00Z,2020-07-17T12:54:00Z,22.931,6.797,98.50643
1595016240,2020-07-17T20:04:00Z,2020-07-17T13:04:00Z,22.964,6.805,98.685546
1595016840,2020-07-17T20:14:00Z,2020-07-17T13:14:00Z,23.023,6.72,97.564451
1595017440,2020-07-17T20:24:00Z,2020-07-17T13:24:00Z,23.098,6.732,97.880808
1595018040,2020-07-17T20:34:00Z,2020-07-17T13:34:00Z,23.148,6.826,99.343649
1595018640,2020-07-17T20:44:00Z,2020-07-17T13:44:00Z,23.182,6.829,99.452714
1595019240,2020-07-17T20:54:00Z,2020-07-17T13:54:00Z,23.257,6.811,99.334515
1595019840,2020-07-17T21:04:00Z,2020-07-17T14:04:00Z,23.265,6.742,98.343392
1595020440,2020-07-17T21:14:00Z,2020-07-17T14:14:00Z,23.357,6.841,99.964916
1595021040,2020-07-17T21:24:00Z,2020-07-17T14:24:00Z,23.407,6.931,101.377799
1595021640,2020-07-17T21:34:00Z,2020-07-17T14:34:00Z,23.491,6.833,100.106339
1595022240,2020-07-17T21:44:00Z,2020-07-17T14:44:00Z,23.608,7.031,103.239388
1595022840,2020-07-17T21:54:00Z,2020-07-17T14:54:00Z,23.709,7.052,103.748977
1595023440,2020-07-17T22:04:00Z,2020-07-17T15:04:00Z,23.725,7.041,103.618985
1595024040,2020-07-17T22:14:00Z,2020-07-17T15:14:00Z,23.725,6.967,102.529963
1595024640,2020-07-17T22:24:00Z,2020-07-17T15:24:00Z,23.759,6.956,102.434936
1595025240,2020-07-17T22:34:00Z,2020-07-17T15:34:00Z,23.759,6.979,102.773637
1595025840,2020-07-17T22:44:00Z,2020-07-17T15:44:00Z,23.859,7.027,103.679212
1595026440,2020-07-17T22:54:00Z,2020-07-17T15:54:00Z,23.826,7.116,104.925932
1595027040,2020-07-17T23:04:00Z,2020-07-17T16:04:00Z,23.792,7.15,105.358517
1595027640,2020-07-17T23:14:00Z,2020-07-17T16:14:00Z,23.784,7.213,106.270534
1595028240,2020-07-17T23:24:00Z,2020-07-17T16:24:00Z,23.751,7.022,103.39098
1595028840,2020-07-17T23:34:00Z,2020-07-17T16:34:00Z,23.884,7.01,103.477966
1595029440,2020-07-17T23:44:00Z,2020-07-17T16:44:00Z,24.018,7.283,107.78408
1595030040,2020-07-17T23:54:00Z,2020-07-17T16:54:00Z,24.027,7.301,108.069076
1595030640,2020-07-18T00:04:00Z,2020-07-17T17:04:00Z,24.044,7.298,108.059804
1595031240,2020-07-18T00:14:00Z,2020-07-17T17:14:00Z,23.985,7.331,108.425955
1595031840,2020-07-18T00:24:00Z,2020-07-17T17:24:00Z,23.943,7.343,108.516136
1595032440,2020-07-18T00:34:00Z,2020-07-17T17:34:00Z,23.951,7.369,108.917054
1595033040,2020-07-18T00:44:00Z,2020-07-17T17:44:00Z,23.977,7.368,108.9565
1595033640,2020-07-18T00:54:00Z,2020-07-17T17:54:00Z,23.993,7.362,108.901121
1595034240,2020-07-18T01:04:00Z,2020-07-17T18:04:00Z,24.002,7.344,108.653572
1595034840,2020-07-18T01:14:00Z,2020-07-17T18:14:00Z,24.01,7.324,108.374265
1595035440,2020-07-18T01:24:00Z,2020-07-17T18:24:00Z,23.993,7.42,109.759076
1595036040,2020-07-18T01:34:00Z,2020-07-17T18:34:00Z,23.985,7.396,109.387309
1595036640,2020-07-18T01:44:00Z,2020-07-17T18:44:00Z,23.977,7.389,109.267044
1595037240,2020-07-18T01:54:00Z,2020-07-17T18:54:00Z,24.018,7.359,108.908834
1595037840,2020-07-18T02:04:00Z,2020-07-17T19:04:00Z,23.968,7.345,108.597668
1595038440,2020-07-18T02:14:00Z,2020-07-17T19:14:00Z,23.993,7.365,108.945498
1595039040,2020-07-18T02:24:00Z,2020-07-17T19:24:00Z,24.01,7.34,108.611019
1595039640,2020-07-18T02:34:00Z,2020-07-17T19:34:00Z,23.993,7.33,108.427766
1595040240,2020-07-18T02:44:00Z,2020-07-17T19:44:00Z,24.002,7.307,108.106162
1595040840,2020-07-18T02:54:00Z,2020-07-17T19:54:00Z,24.018,7.271,107.606487
1595041440,2020-07-18T03:04:00Z,2020-07-17T20:04:00Z,24.002,7.222,106.848597
1595042040,2020-07-18T03:14:00Z,2020-07-17T20:14:00Z,23.985,7.169,106.029964
1595042640,2020-07-18T03:24:00Z,2020-07-17T20:24:00Z,23.977,7.217,106.723542
1595043240,2020-07-18T03:34:00Z,2020-07-17T20:34:00Z,23.977,7.211,106.634816
1595043840,2020-07-18T03:44:00Z,2020-07-17T20:44:00Z,23.96,7.213,106.62968
1595044440,2020-07-18T03:54:00Z,2020-07-17T20:54:00Z,23.943,7.194,106.314188
1595045040,2020-07-18T04:04:00Z,2020-07-17T21:04:00Z,23.951,7.246,107.09906
1595045640,2020-07-18T04:14:00Z,2020-07-17T21:14:00Z,23.926,7.279,107.535311
1595046240,2020-07-18T04:24:00Z,2020-07-17T21:24:00Z,23.926,7.119,105.171573
1595046840,2020-07-18T04:34:00Z,2020-07-17T21:34:00Z,23.926,7.146,105.570454
1595047440,2020-07-18T04:44:00Z,2020-07-17T21:44:00Z,23.918,7.15,105.61336
1595048040,2020-07-18T04:54:00Z,2020-07-17T21:54:00Z,23.926,7.081,104.610185
1595048640,2020-07-18T05:04:00Z,2020-07-17T22:04:00Z,23.943,7.033,103.934902
1595049240,2020-07-18T05:14:00Z,2020-07-17T22:14:00Z,23.935,7.048,104.140616
1595049840,2020-07-18T05:24:00Z,2020-07-17T22:24:00Z,23.943,7.087,104.732923
1595050440,2020-07-18T05:34:00Z,2020-07-17T22:34:00Z,23.935,7.114,105.115826
1595051040,2020-07-18T05:44:00Z,2020-07-17T22:44:00Z,23.91,7.077,104.519049
1595051640,2020-07-18T05:54:00Z,2020-07-17T22:54:00Z,23.876,7.036,103.84584
1595052240,2020-07-18T06:04:00Z,2020-07-17T23:04:00Z,23.851,7.021,103.574797
1595052840,2020-07-18T06:14:00Z,2020-07-17T23:14:00Z,23.851,7.022,103.589549
1595053440,2020-07-18T06:24:00Z,2020-07-17T23:24:00Z,23.843,7.051,104.001406
1595054040,2020-07-18T06:34:00Z,2020-07-17T23:34:00Z,23.843,7.049,103.971906
1595054640,2020-07-18T06:44:00Z,2020-07-17T23:44:00Z,23.843,7.071,104.296403
1595055240,2020-07-18T06:54:00Z,2020-07-17T23:54:00Z,23.809,7.087,104.464252
1595055840,2020-07-18T07:04:00Z,2020-07-18T00:04:00Z,23.792,7.127,105.019601
1595056440,2020-07-18T07:14:00Z,2020-07-18T00:14:00Z,23.767,6.957,102.465397
1595057040,2020-07-18T07:24:00Z,2020-07-18T00:24:00Z,23.776,6.776,99.816801
1595057640,2020-07-18T07:34:00Z,2020-07-18T00:34:00Z,23.742,6.78,99.810555
1595058240,2020-07-18T07:44:00Z,2020-07-18T00:44:00Z,23.734,6.883,101.311286
1595058840,2020-07-18T07:54:00Z,2020-07-18T00:54:00Z,23.65,6.756,99.281593
1595059440,2020-07-18T08:04:00Z,2020-07-18T01:04:00Z,23.642,6.771,99.486719
1595060040,2020-07-18T08:14:00Z,2020-07-18T01:14:00Z,23.633,6.82,100.18934
1595060640,2020-07-18T08:24:00Z,2020-07-18T01:24:00Z,23.55,6.598,96.773383
1595061240,2020-07-18T08:34:00Z,2020-07-18T01:34:00Z,23.5,6.62,97.002616
1595061840,2020-07-18T08:44:00Z,2020-07-18T01:44:00Z,23.441,6.731,98.517021
1595062440,2020-07-18T08:54:00Z,2020-07-18T01:54:00Z,23.407,6.729,98.423201
1595063040,2020-07-18T09:04:00Z,2020-07-18T02:04:00Z,23.374,6.701,97.951277
1595063640,2020-07-18T09:14:00Z,2020-07-18T02:14:00Z,23.349,6.727,98.283901
